Entity,Year,Retail,Out-of-home,Households,Total per capita food waste,Retail %,Out-of-home %,Households %
Afghanistan,2019,15.75,27.85,82.32,125.92,12.507941550190596,22.117217280813215,65.37484116899618
Afghanistan,2022,9.68,32.49,127.15,169.32,5.716985589416489,19.18851878100638,75.09449562957714
Africa (UN),2019,15.43,27.34,110.03,152.8,10.098167539267015,17.89267015706806,72.00916230366492
Africa (UN),2022,10.05,31.11,99.49,140.64999999999998,7.1453963739779605,22.118734447209388,70.73586917881266
Algeria,2019,15.77,27.87,91.76,135.4,11.646971935007384,20.583456425406204,67.76957163958642
Algeria,2022,9.68,31.14,112.64,153.46,6.30783265997654,20.291932751205525,73.40023458881792
American Samoa,2019,18.28,32.31,88.48,139.07,13.14445962464946,23.23290429280219,63.62263608254837
American Samoa,2022,11.88,18.6,73.6,104.08,11.414296694850117,17.87086856264412,70.71483474250576
Andorra,2019,12.94,25.82,85.11,123.87,10.446435779446194,20.84443368047146,68.70913054008234
Andorra,2022,10.79,19.52,82.66,112.97,9.5512082853855,17.278923608037534,73.16986810657696
Angola,2019,15.38,27.2,97.97,140.55,10.942725008893632,19.35254357879758,69.70473141230879
Angola,2022,9.68,31.14,89.13,129.95,7.449018853405157,23.9630627164294,68.58791843016544
Anguilla,2022,18.16,28.78,119.3,166.24,10.923965351299325,17.312319538017324,71.76371511068335
Antigua and Barbuda,2019,13.5,26.95,77.92,118.37,11.404916786347892,22.767593140153753,65.82749007349835
Antigua and Barbuda,2022,14.45,40.79,84.49,139.73,10.341372647248265,29.192013168253062,60.46661418449868
Argentina,2019,2.76,27.67,72.49,102.92,2.6816945200155455,26.88495919160513,70.43334628837931
Argentina,2021,1.45,27.388055555555557,83.11259259259259,111.95064814814816,1.2952135820430133,24.464401062968385,74.24038535498859
Argentina,2022,2.76,47.55,91.34,141.65,1.948464525238263,33.56865513589834,64.4828803388634
Argentina,2017,14.727992565055764,27.388055555555557,0.22,42.33604812061132,34.788302684976955,64.69204560031116,0.519651714711872
Armenia,2019,16.4,28.99,97.57,142.95999999999998,11.471740346950195,20.27839955232233,68.24986010072747
Armenia,2022,31.46,29.4,101.86,162.72,19.333824975417897,18.067846607669615,62.59832841691249
Aruba,2019,12.79,25.54,73.82,112.15,11.40436914846188,22.77307177886759,65.82255907267051
Aruba,2022,15.56,43.91,90.96,150.43,10.343681446519975,29.189656318553475,60.46666223492654
Asia (UN),2019,15.85,32.06,65.68,113.59,13.953693106787568,28.224315520732464,57.82199137247998
Asia (UN),2022,19.65,36.54,73.22,129.41,15.184297967699559,28.235839579630635,56.57986245266981
Australia,2019,9.4,21.55,101.08,132.03,7.119594031659473,16.32204801938953,76.558357948951
Australia,2022,20.9,58.24,97.76,176.9,11.814584511023176,32.922555115884684,55.262860373092145
Australia and New Zealand (UN SDG),2019,8.44,22.06,95.21,125.71,6.713865245406094,17.54832551109697,75.73780924349694
Australia and New Zealand (UN SDG),2022,17.96,55.14,91.69,164.79,10.89871958249894,33.460768250500635,55.64051216700042
Austria,2019,8.7,28.63,39.33,76.66,11.348812940255675,37.346725802243675,51.304461257500655
Austria,2020,9.47,22.67,82.81,114.95,8.23836450630709,19.721618094823835,72.04001739886907
Austria,2021,9.45,20.0,83.11,112.56,8.395522388059701,17.768301350390903,73.8361762615494
Austria,2022,9.0,23.0,83.0,115.0,7.82608695652174,20.0,72.17391304347827
Azerbaijan,2019,15.36,27.15,91.36,133.87,11.473817883020839,20.280869500261446,68.24531261671771
Azerbaijan,2022,31.47,29.41,101.9,162.78,19.332841872465902,18.067330138837693,62.5998279886964
Bahamas,2019,12.33,24.62,71.17,108.12,11.403995560488346,22.770995190529042,65.82500924898261
Bahamas,2022,15.06,42.49,88.03,145.58,10.344827586206897,29.18670146998214,60.468470943810956
Bahrain,2019,14.07,28.09,144.67,186.83,7.530910453353315,15.035058609431031,77.43403093721564
Bahrain,2022,27.48,24.31,131.51,183.3,14.991816693944351,13.26241134751773,71.7457719585379
Bangladesh,2019,15.41,3.29,64.15,82.85000000000001,18.599879299939648,3.9710319855159923,77.42908871454436
Bangladesh,2022,9.68,32.49,82.38,124.55,7.771979124849458,26.085909273384182,66.14211160176635
Barbados,2019,13.12,26.19,75.72,115.03,11.405720246892114,22.767973572111625,65.82630618099627
Barbados,2022,14.97,42.24,87.51,144.72,10.344112769485903,29.187396351575458,60.46849087893864
Belarus,2019,15.28,27.01,66.81,109.1,14.005499541704857,24.75710357470211,61.23739688359304
Belarus,2022,13.59,17.23,70.7,101.52,13.386524822695037,16.97202521670607,69.6414499605989
Belgium,2019,9.74,19.75,50.04,79.53,12.246950836162455,24.833396202690807,62.91965296114673
Belgium,2020,6.37,7.64,70.85,84.86,7.50648126325713,9.00306386990337,83.49045486683949
Belgium,2021,5.99,8.3,69.92,84.21000000000001,7.113169457309108,9.856311601947512,83.03051894074336
Belgium,2022,6.0,8.0,71.02,85.02,7.057163020465773,9.409550693954365,83.53328628557986
Belize,2019,15.69,27.74,52.85,96.28,16.29621936019942,28.8117989198172,54.891981719983384
Belize,2022,19.23,48.1,53.29,120.62,15.942629746310727,39.87730061349693,44.180069640192336
Benin,2019,15.02,26.55,95.63,137.2,10.947521865889213,19.35131195335277,69.70116618075802
Benin,2022,9.68,31.13,89.11,129.92000000000002,7.450738916256157,23.960899014778324,68.58836206896551
